token,surprisal
Il,
Ġfatto,6.36279821395874
ĠÃ¨,3.3281736373901367
.,9.115955352783203
ĉ,9.597596168518066
Ċ,6.538675308227539
Il,6.522256374359131
Ġfatto,1.8421285152435303
ĠÃ¨,0.260615736246109
Ġche,0.9058626890182495
Ġla,1.9457879066467285
Ġpa,7.472711563110352
per,6.15427303314209
etta,6.952053546905518
Ġnon,3.3737950325012207
Ġsi,2.918700695037842
Ġera,3.4362387657165527
Ġancora,4.998389720916748
Ġdecisa,8.749486923217773
Ġa,2.296757698059082
Ġtu,9.920937538146973
ff,3.1402230262756348
arsi,1.049309492111206
Ġnello,8.209221839904785
Ġsta,7.102329730987549
gno,1.7381409406661987
.,2.1080234050750732
ĠCosÃ¬,8.38778018951416
Ġl,3.2744572162628174
âĢĻ,4.157115459442139
ana,8.248483657836914
tra,3.7692627906799316
",",5.1739373207092285
Ġsul,7.036967754364014
Ġbordo,8.390801429748535
Ġdello,4.224593639373779
Ġspecchio,4.804024696350098
Ġd,3.5756683349609375
âĢĻ,1.1425116062164307
acqua,1.1582399606704712
",",0.5632656216621399
Ġle,5.985177040100098
Ġspie,8.812956809997559
gÃ²,2.453158378601074
",",3.2456698417663574
Ġcon,2.5680291652679443
Ġpazienza,7.743666648864746
",",0.5719552040100098
Ġi,4.607644557952881
Ġvantaggi,7.732901573181152
Ġdel,2.7293777465820312
Ġnuoto,6.108347415924072
.,1.6511917114257812
ĠMa,3.934976577758789
Ġnon,2.3004276752471924
Ġle,5.849420547485352
ĠriuscÃ¬,11.06531047821045
Ġaffatto,6.575917720794678
Ġdi,4.855771064758301
Ġconvincer,4.794734954833984
la,1.3510795831680298
Ġe,3.9781460762023926
",",3.4544546604156494
Ġvedendo,6.502947807312012
Ġche,2.23229718208313
Ġcon,6.63665771484375
Ġle,2.7442736625671387
Ġbuone,5.6601386070251465
Ġnon,6.850111484527588
Ġotten,7.317268371582031
eva,1.818889856338501
Ġnulla,2.3910651206970215
",",0.41860076785087585
Ġdecise,3.7630369663238525
Ġsenz,10.106279373168945
âĢĻ,0.1518218219280243
altro,0.025669395923614502
Ġdi,0.2671481966972351
Ġsp,7.672299385070801
inger,0.724338948726654
la,1.1481444835662842
Ġin,3.2139382362365723
Ġacqua,5.135899066925049
.,1.189391851425171
ĠSenza,7.020480155944824
Ġalcun,4.124579429626465
Ġsuccesso,4.753510475158691
!,6.407365798950195
Ġ,4.176715850830078
Ċ,5.547140598297119
A,3.9654533863067627
Ġquel,2.321539878845215
Ġpunto,0.8900779485702515
",",1.7940868139266968
Ġl,2.4359734058380127
âĢĻ,0.03107459284365177
ana,1.8322057723999023
tra,0.0009548871894367039
Ġindi,8.231988906860352
spetti,3.331345558166504
ta,1.5276035070419312
",",2.300136089324951
Ġchia,8.019386291503906
mÃ²,1.2384170293807983
Ġin,3.5537984371185303
Ġaiuto,4.458168983459473
Ġil,2.048405408859253
Ġgatto,7.528547286987305
